anio,id_jurisdiccion,provincia,nacimientos_cantidad,poblacion,tgf
2016,18.0,corrientes,19649,1080655,2.19566582898214
2016,30.0,entre_rios,21886,1334489,2.17520997173271
2016,34.0,formosa,11082,584614,2.38293954855024
2016,38.0,jujuy,11956,736542,2.06589330455435
2016,42.0,la_pampa,5105,346191,2.05426233474902
2016,46.0,la_rioja,5820,362989,1.9374176525385
2016,50.0,mendoza,32162,1907045,2.27454563661056
2016,54.0,misiones,24705,1204182,2.5391068568965
2016,58.0,neuquen,11248,628897,2.27623353239663
2016,62.0,rio_negro,11749,708799,2.18802378394672
2016,66.0,salta,25733,1351878,2.38560750425312
2016,70.0,san_juan,13803,747488,2.4247116902979
2016,74.0,san_luis,7427,482796,1.99639492052028
2016,78.0,santa_cruz,6101,329499,2.31452726388619
2016,82.0,santa_fe,54276,3425656,2.10621825861972
2016,86.0,santiago_del_estero,18070,938109,2.28620598602947
2016,94.0,tierra_del_fuego,2872,156071,2.21904237625161
2016,90.0,tucuman,27455,1613476,2.16573585216582
2017,6.0,buenos_aires,260846,17020578,1.97105315225282
2017,2.0,capital_federal,38800,3063728,1.55625178611782
2017,10.0,catamarca,6426,404433,2.01108805635502
2017,22.0,chaco,23171,1168165,2.3551527223035
2017,26.0,chubut,8865,587956,1.97486160077978
2017,14.0,cordoba,55464,3645321,1.94726035985646
2017,18.0,corrientes,19726,1090938,2.23248314767262
2017,30.0,entre_rios,21468,1347508,2.13992972550686
2017,34.0,formosa,11299,589916,2.42630497115448
2017,38.0,jujuy,11615,745252,1.9602682625262
2017,42.0,la_pampa,4999,349299,1.94856283659182
2017,46.0,la_rioja,5674,368166,1.83312919531337
2017,50.0,mendoza,30381,1928304,2.13181413327209
2017,54.0,misiones,25319,1218771,2.5590014301917
2017,58.0,neuquen,10439,637913,2.09914173533663
2017,62.0,rio_negro,11212,718646,2.09535753021669
2017,66.0,salta,25219,1370283,2.42340523063605
2017,70.0,san_juan,13368,755994,2.36706009243507
2017,74.0,san_luis,7182,489225,1.90407376710138
2017,78.0,santa_cruz,5688,338542,2.13538574616611
2017,82.0,santa_fe,52525,3453674,1.99776712167916
2017,86.0,santiago_del_estero,18298,948172,2.29328397730403
2017,94.0,tierra_del_fuego,2656,161200,2.08402029099004
2017,90.0,tucuman,26458,1633992,2.07323685076734
2018,6.0,buenos_aires,253242,17197160,1.89719162184765
2018,2.0,capital_federal,36472,3068043,1.54608984532248
2018,10.0,catamarca,6679,408152,2.09033186633887
2018,22.0,chaco,23444,1180477,2.49970878938032
2018,26.0,chubut,8352,598380,1.85260872162491
2018,14.0,cordoba,53689,3683937,1.89630290232426
2018,18.0,corrientes,19779,1101084,2.20289114122205
2018,30.0,entre_rios,20845,1360443,2.06230266142919
2018,34.0,formosa,11442,595129,2.44340037273879
2018,38.0,jujuy,11675,753891,1.94854203114657
2018,42.0,la_pampa,4788,352378,1.85537124512762
2018,46.0,la_rioja,5497,373348,1.74994030532896
2018,50.0,mendoza,29638,1949293,2.0304441442884
2018,54.0,misiones,24695,1233177,2.45444607957261
2018,58.0,neuquen,10185,646784,2.03528800932966
2018,62.0,rio_negro,10481,728403,1.92813461262322
2018,66.0,salta,24868,1388532,2.24210629899571
2018,70.0,san_juan,13489,764464,2.30184350787238
2018,74.0,san_luis,6974,495629,1.83991684464878
2018,78.0,santa_cruz,5026,347593,1.86493702221262
2018,82.0,santa_fe,50622,3481514,1.92972166343356
2018,86.0,santiago_del_estero,18642,958251,2.31029941392558
2018,94.0,tierra_del_fuego,2661,166487,2.0162641201057
2018,90.0,tucuman,27166,1654388,2.10026551556337
2019,6.0,buenos_aires,228455,17371119,1.70892582065957
2019,2.0,capital_federal,32371,3072029,1.48487327616274
2019,10.0,catamarca,5698,411824,1.79357259141807
2019,22.0,chaco,20940,1192616,2.23625416856534
2019,26.0,chubut,7630,608729,1.69189523594272
2019,14.0,cordoba,50195,3722332,1.79280170279534
2019,18.0,corrientes,17928,1111052,2.02469374415732
2019,30.0,entre_rios,18750,1373270,1.85609013946472
2019,34.0,formosa,10010,600229,2.12544824351106
2019,38.0,jujuy,10105,762440,1.70611756631293
2019,42.0,la_pampa,4285,355422,1.6675472904443
2019,46.0,la_rioja,5089,378523,1.63141730436282
2019,50.0,mendoza,26692,1969982,1.84521712660889
2019,54.0,misiones,22797,1247362,2.25382398338638
2019,58.0,neuquen,9403,655501,1.89393690772291
2019,62.0,rio_negro,9558,738060,1.76518535198548
2019,66.0,salta,22454,1406584,2.03099758688984
2019,70.0,san_juan,12318,772876,2.1217472174722
2019,74.0,san_luis,6532,502000,1.71255236719622
2019,78.0,santa_cruz,4667,356647,1.69122031793642
2019,82.0,santa_fe,45947,3509113,1.76797300783086
2019,86.0,santiago_del_estero,17559,968309,2.1593510676961
2019,94.0,tierra_del_fuego,2349,171941,1.76443941571505
2019,90.0,tucuman,24343,1674622,1.88622263435907
2020,6.0,buenos_aires,201232,17542343,1.42512995936315
2020,2.0,capital_federal,28043,3075646,1.23598763495801
2020,10.0,catamarca,5034,415438,1.53722819672653
2020,22.0,chaco,18288,1204541,1.86228527392613
2020,26.0,chubut,6837,618994,1.49268811340641
2020,14.0,cordoba,45205,3760450,1.53231752662854
2020,18.0,corrientes,16675,1120801,1.84867400300288
2020,30.0,entre_rios,16900,1385961,1.64039041178655
2020,34.0,formosa,8900,605193,1.90823128985136
2020,38.0,jujuy,8918,770881,1.50718367625584
2020,42.0,la_pampa,3977,358428,1.44712780842827
2020,46.0,la_rioja,4622,383678,1.39035755777812
2020,50.0,mendoza,23538,1990338,1.57360263605627
2020,54.0,misiones,21151,1261294,2.05819467811179
2020,58.0,neuquen,8227,664057,1.62548943717674
2020,62.0,rio_negro,8677,747610,1.5505862350007
2020,66.0,salta,19830,1424397,1.58848805493967
2020,70.0,san_juan,11159,781217,1.83790593019656
2020,74.0,san_luis,6130,508328,1.540230368693
2020,78.0,santa_cruz,4201,365698,1.45008947568888
2020,82.0,santa_fe,41023,3536418,1.48820200028334
2020,86.0,santiago_del_estero,15195,978313,1.73989572514172
2020,94.0,tierra_del_fuego,1897,177578,1.35664434861777
2020,90.0,tucuman,21205,1694656,1.6056953640505
2021,6.0,buenos_aires,179490,17711043,1.40812183744198
2021,2.0,capital_federal,24724,3078836,1.15362199345816
2021,10.0,catamarca,4644,418991,1.48620645547088
2021,22.0,chaco,16719,1216247,1.87503011257026
2021,26.0,chubut,6090,629181,1.36247199032203
2021,14.0,cordoba,42752,3798261,1.54498470206648
2021,18.0,corrientes,15440,1130320,1.75879438427715
2021,30.0,entre_rios,15990,1398510,1.57637817169331
2021,34.0,formosa,8258,610019,1.82079356668167
2021,38.0,jujuy,7996,779212,1.38609111936902
2021,42.0,la_pampa,3645,361394,1.37809264524706
2021,46.0,la_rioja,4225,388804,1.39117949904775
2021,50.0,mendoza,21887,2010363,1.53112098614634
2021,54.0,misiones,20301,1274992,1.99306296653354
2021,58.0,neuquen,7420,672461,1.54741310383833
2021,62.0,rio_negro,8005,757052,1.42470537471059
2021,66.0,salta,18699,1441988,1.78122765657442
2021,70.0,san_juan,10615,789489,1.85966697784752
2021,74.0,san_luis,5692,514610,1.52731496600241
