anio,provincia,nacimientos_cantidad,poblacion,tgf,defunciones,tbn,tbm,crecimiento_vegetativo,tasa_crecimiento
2012,buenos_aires,289720,16100397,2.5706553340623484,132349,17.99458733843644,8.22023208496039,157371,9.774355253476049
2012,capital_federal,45013,3038860,2.1160660811714167,31560,14.812462568199917,10.385473499930894,13453,4.426989068269023
2012,catamarca,6485,385408,2.403760615837168,2260,16.826324310860176,5.863915642643639,4225,10.962408668216536
2012,chaco,22829,1105280,2.950642112664405,7128,20.654494788650837,6.449044585987261,15701,14.205450202663576
2012,chubut,9725,534945,2.5970627153926373,3033,18.17943900774846,5.6697417491517825,6692,12.509697258596677
2012,cordoba,57501,3450673,2.3805294130821935,27497,16.663705891575354,7.968590474959522,30004,8.695115416615831
2012,corrientes,19723,1038786,2.7123694664458595,6750,18.986586265121016,6.497969745452865,12973,12.48861651966815
2012,entre_rios,22117,1281931,2.4646969521537656,9667,17.25287866507636,7.540967493570247,12450,9.711911171506113
2012,formosa,11826,562794,3.001859599477911,3392,21.013017196345377,6.0270720725523015,8434,14.985945123793076
2012,jujuy,12987,701252,2.6456761824361488,4132,18.519733277053042,5.892318310678615,8855,12.627414966374428
2012,la_pampa,5368,333496,2.2994492973143394,2482,16.096145081200376,7.442368124355315,2886,8.65377695684506
2012,la_rioja,6168,342549,2.5723118652889285,2059,18.0061830570225,6.010818890144184,4109,11.995364166878318
2012,mendoza,33069,1819608,2.596242079141693,12879,18.17369455399185,7.077898096732923,20190,11.095796457258928
2012,misiones,25984,1144189,3.2442192679705886,6507,22.70953487579412,5.686997515270641,19477,17.02253736052348
2012,neuquen,11444,591422,2.7642819219730463,2884,19.349973453811323,4.876382684445287,8560,14.473590769366037
2012,rio_negro,11864,668663,2.5346955684061223,3899,17.742868978842857,5.831038953852688,7965,11.91183002499017
2012,salta,26995,1277062,3.019766128370096,7229,21.13836289859067,5.660649208887274,19766,15.477713689703396
2012,san_juan,14464,713240,2.897041268416962,4548,20.279288878918734,6.37653524760249,9916,13.902753631316244
2012,san_luis,7684,456924,2.402400149071368,2831,16.816801043499574,6.19577872906654,4853,10.621022314433034
2012,santa_cruz,5924,293407,2.8843405722621283,1378,20.190384005834897,4.69654779879144,4546,15.493836207043458
2012,santa_fe,54235,3313212,2.338473101889388,28404,16.369311713225716,8.572949753894408,25831,7.796361959331309
2012,santiago_del_estero,18464,898484,2.935738739603917,5251,20.55017117722742,5.8442888242862425,13213,14.705882352941178
2012,tierra_del_fuego,2790,136973,2.9098539753924397,502,20.368977827747077,3.6649558672147062,2288,16.704021960532373
2012,tucuman,28857,1530689,2.6931849457522534,10079,18.852294620265774,6.584616470099413,18778,12.267678150166361
2013,buenos_aires,290116,16289508,2.544284508601663,133035,17.809991560211643,8.166913328505686,157081,9.643078231705957
2013,capital_federal,44892,3044076,2.106761742197914,32133,14.747332195385397,10.55591253306422,12759,4.191419662321177
2013,catamarca,6648,389256,2.4398192595985306,2384,17.078734817189716,6.124504182337588,4264,10.954230634852127
2013,chaco,22583,1117953,2.8857589336428786,7250,20.20031253550015,6.4850669035281445,15333,13.715245631972005
2013,chubut,10037,545656,2.6277675730811043,3085,18.39437301156773,5.653745216766607,6952,12.740627794801123
2013,cordoba,58296,3489669,2.3864727571583435,28755,16.705309300108404,8.240036519222883,29541,8.46527278088552
2013,corrientes,19659,1049325,2.676414429684389,6880,18.73490100779072,6.556595906892526,12779,12.178305100898196
2013,entre_rios,22391,1295121,2.46981887075747,10065,17.28873209530229,7.771474634416398,12326,9.517257460885892
2013,formosa,11580,568331,2.9107786031128238,3537,20.375450221789766,6.223485961525943,8043,14.151964260263824
2013,jujuy,12909,710121,2.596941728441853,4231,18.17859209909297,5.958139528333904,8678,12.220452570759067
